vid,from,WKT,cost_before,cost_remain,visit_number
2562561362,2562561365,"LINESTRING(8564026.730879318 5354394.112787152,8563971.526358891 5354268.70789256)",7556,15651,7084
2195100136,260541670,"LINESTRING(8567232.839565724 5356654.60712763,8567489.328260636 5356718.200589788)",6717,16188,5877
2281408123,2281408218,"LINESTRING(8566253.59630336 5354881.749745083,8566167.816971617 5354872.416740429)",5480,16531,2366
1381572659,241927712,"LINESTRING(8564819.977372857 5356666.859045241,8564734.198041113 5356667.442470293)",8434,14238,4700
4077233220,4077233221,"LINESTRING(8564257.740564803 5351193.6088467445,8564219.52205066 5351190.693437526)",4622,18398,6385
2365925871,2365925872,"LINESTRING(8566185.652278217 5353610.214116896,8566178.00857539 5353609.047650228)",4400,17500,1947
2931996332,7490155966,"LINESTRING(8567975.128040405 5353733.277171787,8567963.237836005 5353841.177397949)",2830,18508,377
5472928891,5472928898,"LINESTRING(8566184.802977903 5351240.255518459,8566127.899856845 5351279.905373228)",2672,19336,2351
6467396785,2321236055,"LINESTRING(8567338.152804695 5352414.662515472,8567353.440210352 5352498.637709894)",2189,19104,322
260539777,3126151868,"LINESTRING(8566463.373480987 5351718.397383324,8566368.251845788 5351708.484436772)",2427,19125,834
2281432304,2280835777,"LINESTRING(8566908.40684567 5354620.429153802,8566808.189408584 5354647.844139058)",4599,17129,1307
2201604836,2201604786,"LINESTRING(8563687.860053921 5356355.315295498,8563681.065651406 5356751.45605965)",9703,13487,7026
297186519,27519147,"LINESTRING(8563955.389652917 5357528.617739059,8564058.154990947 5357553.123893203)",9599,13128,4961
4320683637,2195100003,"LINESTRING(8568140.741601689 5356822.634833338,8568148.385304518 5356825.552007812)",6469,16629,6702
674144548,260542004,"LINESTRING(8567026.459589355 5350727.154986969,8566835.367018642 5350707.914267263)",2274,20210,3862
2281408268,2281407811,"LINESTRING(8568003.154950777 5356000.61151981,8568051.56506869 5355988.943862229)",5574,17090,4655
2670951066,6562169932,"LINESTRING(8565727.87940882 5356371.650663599,8565739.769613221 5356372.234070134)",7222,15143,3398
2281408120,2281408746,"LINESTRING(8567288.893386466 5356544.924012731,8567230.291664781 5356613.184097135)",6411,16060,3808
